,name,symbol,price,marcaps,crypto_1h,crypto_24h,crypto_7d,vol_24_d,vol_24_s,circ_supply,image,link
73,Dash,DASH,$58.78,"$659,374,830",0.03%,2.38%,1.66%,"$84,738,735","1,442,280 DASH","11,217,973 DASH",https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,https://coinmarketcap.com/currencies/dash/
74,IOTA,MIOTA,$0.228,"$632,241,339",0.47%,4.81%,8.50%,"$14,171,044","62,300,334 MIOTA","2,779,530,283 MIOTA",https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png,https://coinmarketcap.com/currencies/iota/
75,Zcash,ZEC,$38.03,"$621,068,592",0.07%,2.35%,2.00%,"$22,935,611","603,662 ZEC","16,328,269 ZEC",https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png,https://coinmarketcap.com/currencies/zcash/
76,Gemini Dollar,GUSD,$1.01,"$611,751,357",0.39%,0.36%,0.17%,"$558,832","554,609 GUSD","607,049,883 GUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/3306.png,https://coinmarketcap.com/currencies/gemini-dollar/
77,eCash,XEC,$0.00003157,"$610,315,820",0.08%,2.11%,3.27%,"$6,449,093","204,620,868,188 XEC","19,352,242,173,303 XEC",https://s2.coinmarketcap.com/static/img/coins/64x64/10791.png,https://coinmarketcap.com/currencies/ecash/
78,BitTorrent(New),BTT,$0.0000006323,"$601,551,626",0.17%,1.10%,2.70%,"$12,529,310","19,794,304,649,580 BTT","951,421,714,286,000 BTT",https://s2.coinmarketcap.com/static/img/coins/64x64/16086.png,https://coinmarketcap.com/currencies/bittorrent-new/
79,Huobi Token,HT,$3.63,"$588,454,981",0.28%,0.54%,0.08%,"$6,386,367","1,762,823 HT","162,233,844 HT",https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png,https://coinmarketcap.com/currencies/huobi-token/
80,GateToken,GT,$5.27,"$570,184,792",0.21%,3.12%,2.44%,"$666,489","126,515 GT","108,265,077 GT",https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,https://coinmarketcap.com/currencies/gatetoken/
81,XDC Network,XDC,$0.04061,"$561,457,976",0.30%,0.69%,3.12%,"$5,067,669","124,790,070 XDC","13,826,604,091 XDC",https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,https://coinmarketcap.com/currencies/xinfin/
82,PAX Gold,PAXG,"$2,035.87","$552,256,592",0.40%,2.45%,2.42%,"$20,779,740","10,211 PAXG","271,264 PAXG",https://s2.coinmarketcap.com/static/img/coins/64x64/4705.png,https://coinmarketcap.com/currencies/pax-gold/
83,THORChain,RUNE,$1.65,"$538,788,891",0.38%,5.18%,18.36%,"$63,363,943","38,471,759 RUNE","327,056,566 RUNE",https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png,https://coinmarketcap.com/currencies/thorchain/
84,SingularityNET,AGIX,$0.4194,"$505,789,115",0.59%,2.29%,5.47%,"$61,962,367","147,689,725 AGIX","1,206,121,857 AGIX",https://s2.coinmarketcap.com/static/img/coins/64x64/2424.png,https://coinmarketcap.com/currencies/singularitynet/
85,Trust Wallet Token,TWT,$1.19,"$496,002,757",0.11%,0.83%,3.44%,"$15,245,155","12,800,460 TWT","416,649,900 TWT",https://s2.coinmarketcap.com/static/img/coins/64x64/5964.png,https://coinmarketcap.com/currencies/trust-wallet-token/
86,Loopring,LRC,$0.369,"$490,869,438",0.51%,3.66%,0.91%,"$41,119,120","111,549,541 LRC","1,330,133,546 LRC",https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png,https://coinmarketcap.com/currencies/loopring/
87,Render Token,RNDR,$1.36,"$490,832,721",0.27%,3.16%,11.35%,"$49,580,760","36,679,656 RNDR","361,444,954 RNDR",https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,https://coinmarketcap.com/currencies/render-token/
88,Zilliqa,ZIL,$0.03043,"$482,776,845",0.29%,1.98%,8.54%,"$50,957,305","1,675,103,087 ZIL","15,867,699,447 ZIL",https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png,https://coinmarketcap.com/currencies/zilliqa/
89,1inch Network,1INCH,$0.5449,"$451,363,527",0.66%,4.32%,7.05%,"$47,263,719","86,664,745 1INCH","828,310,703 1INCH",https://s2.coinmarketcap.com/static/img/coins/64x64/8104.png,https://coinmarketcap.com/currencies/1inch/
90,Casper,CSPR,$0.04161,"$452,999,883",0.61%,8.07%,10.35%,"$14,718,850","355,284,193 CSPR","10,888,032,178 CSPR",https://s2.coinmarketcap.com/static/img/coins/64x64/5899.png,https://coinmarketcap.com/currencies/casper/
91,Solar,SXP,$0.8002,"$448,260,766",0.07%,1.83%,146.77%,"$491,889,511","615,264,845 SXP","560,151,204 SXP",https://s2.coinmarketcap.com/static/img/coins/64x64/4279.png,https://coinmarketcap.com/currencies/sxp/
92,Basic Attention Token,BAT,$0.2958,"$439,507,812",0.17%,5.57%,16.87%,"$122,445,131","415,133,907 BAT","1,486,013,548 BAT",https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png,https://coinmarketcap.com/currencies/basic-attention-token/
93,Flare,FLR,$0.03518,"$437,326,028",0.04%,1.03%,14.67%,"$11,215,512","319,734,531 FLR","12,431,446,607 FLR",https://s2.coinmarketcap.com/static/img/coins/64x64/7950.png,https://coinmarketcap.com/currencies/flare/
94,Injective,INJ,$5.44,"$435,011,531",0.15%,0.35%,25.84%,"$54,982,834","10,123,362 INJ","80,005,555 INJ",https://s2.coinmarketcap.com/static/img/coins/64x64/7226.png,https://coinmarketcap.com/currencies/injective/
95,Mask Network,MASK,$5.84,"$433,424,633",0.56%,1.30%,15.34%,"$137,438,287","23,492,582 MASK","74,162,500 MASK",https://s2.coinmarketcap.com/static/img/coins/64x64/8536.png,https://coinmarketcap.com/currencies/mask-network/
96,Enjin Coin,ENJ,$0.4233,"$423,315,991",0.36%,5.21%,8.08%,"$29,847,425","70,425,440 ENJ","1,000,000,000 ENJ",https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png,https://coinmarketcap.com/currencies/enjin-coin/
97,Fei USD,FEI,$0.9832,"$417,849,456",0.08%,1.19%,1.45%,"$912,269","927,202 FEI","424,996,178 FEI",https://s2.coinmarketcap.com/static/img/coins/64x64/8642.png,https://coinmarketcap.com/currencies/fei-usd/
98,ICON,ICX,$0.4365,"$416,219,022",1.46%,10.25%,105.65%,"$563,307,631","1,294,767,353 ICX","953,477,321 ICX",https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png,https://coinmarketcap.com/currencies/icon/
99,dYdX,DYDX,$2.65,"$414,473,781",0.22%,6.54%,2.97%,"$93,748,511","35,477,750 DYDX","156,256,174 DYDX",https://s2.coinmarketcap.com/static/img/coins/64x64/11156.png,https://coinmarketcap.com/currencies/dydx/
100,Kava,KAVA,$0.8816,"$412,685,932",0.14%,2.55%,2.09%,"$15,508,896","17,592,278 KAVA","467,877,698 KAVA",https://s2.coinmarketcap.com/static/img/coins/64x64/4846.png,https://coinmarketcap.com/currencies/kava/
101,Convex Finance,CVX,$5.39,"$410,079,839",0.07%,6.43%,0.81%,"$11,284,324","2,092,580 CVX","76,020,131 CVX",https://s2.coinmarketcap.com/static/img/coins/64x64/9903.png,https://coinmarketcap.com/currencies/convex-finance/
102,ssv.network,SSV,$39.60,"$395,519,370",1.48%,6.77%,3.64%,"$45,554,599","1,150,500 SSV","10,000,000 SSV",https://s2.coinmarketcap.com/static/img/coins/64x64/12999.png,https://coinmarketcap.com/currencies/ssv-network/
103,Osmosis,OSMO,$0.7948,"$392,141,311",0.34%,0.88%,2.61%,"$6,884,522","8,661,478 OSMO","492,590,761 OSMO",https://s2.coinmarketcap.com/static/img/coins/64x64/12220.png,https://coinmarketcap.com/currencies/osmosis/
104,WOO Network,WOO,$0.2303,"$386,528,646",0.04%,2.64%,13.50%,"$30,610,774","132,937,921 WOO","1,677,019,140 WOO",https://s2.coinmarketcap.com/static/img/coins/64x64/7501.png,https://coinmarketcap.com/currencies/wootrade/
105,Nexo,NEXO,$0.6713,"$375,852,781",0.20%,1.79%,8.92%,"$4,578,843","6,820,447 NEXO","560,000,011 NEXO",https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png,https://coinmarketcap.com/currencies/nexo/
106,EthereumPoW,ETHW,$3.47,"$374,581,151",0.09%,1.89%,1.53%,"$7,956,323","2,291,327 ETHW","107,818,999 ETHW",https://s2.coinmarketcap.com/static/img/coins/64x64/21296.png,https://coinmarketcap.com/currencies/ethereum-pow/
107,NEM,XEM,$0.04132,"$372,062,088",0.02%,3.29%,4.43%,"$11,556,559","279,673,791 XEM","8,999,999,999 XEM",https://s2.coinmarketcap.com/static/img/coins/64x64/873.png,https://coinmarketcap.com/currencies/nem/
108,Theta Fuel,TFUEL,$0.05895,"$358,488,005",0.21%,4.18%,11.96%,"$76,149,549","1,291,675,321 TFUEL","6,089,485,867 TFUEL",https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png,https://coinmarketcap.com/currencies/theta-fuel/
109,Oasis Network,ROSE,$0.06203,"$356,575,703",1.35%,5.02%,6.60%,"$33,382,719","538,153,783 ROSE","5,725,718,533 ROSE",https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png,https://coinmarketcap.com/currencies/oasis-network/
